,lon,lat,address,ZIP
716,-81.6856808,30.3152434,"jacksonville, fl 32204, usa",32204
717,-81.3729372,29.9109642,"st augustine, fl 32084, usa",32084
718,-82.5456374,27.3331293,"sarasota, fl 34236, usa",34236
719,-80.2878794,27.2932971,"port st lucie, fl 34952, usa",34952
720,-81.6363869,30.2949194,"jacksonville, fl 32207, usa",32207
721,-81.6309078,30.243028,"jacksonville, fl 32217, usa",32217
722,-81.0423429,29.1987957,"daytona beach, fl 32114, usa",32114
723,-81.8005724,27.8915661,"bartow, fl 33830, usa",33830
724,-83.634843,30.4190335,"greenville, fl 32331, usa",32331
725,-82.9501558,30.4755958,"jasper, fl 32052, usa",32052
726,-81.6692532,30.4686832,"jacksonville, fl 32218, usa",32218
727,-80.0926014,26.6211772,"lake worth, fl 33461, usa",33461
728,-80.3435908,27.1458025,"palm city, fl 34990, usa",34990
729,-80.3435908,27.1458025,"palm city, fl 34990, usa",34990
730,-80.2878794,27.2932971,"port st lucie, fl 34952, usa",34952
731,-82.6321376,27.7346248,"st. petersburg, fl 33705, usa",33705
732,-81.6555607,30.3276337,"jacksonville, fl 32202, usa",32202
733,-80.1316927,26.6064003,"lake worth, fl 33463, usa",33463
734,-80.109357,26.5114554,"boynton beach, fl 33436, usa",33436
735,-80.1540226,26.8645934,"palm beach gardens, fl 33418, usa",33418
736,-81.422404,28.3040861,"kissimmee, fl 34741, usa",34741
737,-81.0699462,29.240991,"daytona beach, fl 32117, usa",32117
738,-82.4698603,27.2823268,"sarasota, fl 34233, usa",34233
739,-81.4114142,28.6626293,"altamonte springs, fl 32714, usa",32714
740,-82.5834947,30.111156,"lake city, fl 32025, usa",32025
741,-82.7940297,27.8830677,"largo, fl 33778, usa",33778
742,-80.0814292,26.5386936,"boynton beach, fl 33426, usa",33426
743,-80.1540226,26.3510294,"boca raton, fl 33433, usa",33433
744,-80.1540226,26.3510294,"boca raton, fl 33433, usa",33433
745,-84.2173403,30.4805441,"tallahassee, fl 32308, usa",32308
746,-81.6802054,28.8472701,"eustis, fl 32726, usa",32726
747,-81.8115051,26.2448015,"naples, fl 34108, usa",34108
748,-82.366887,28.760539,"inverness, fl 34452, usa",34452
749,-82.0516102,26.984537,"punta gorda, fl 33980, usa",33980
750,-87.3711477,30.9724762,"century, fl 32535, usa",32535
751,-80.7103532,28.1356631,"melbourne, fl 32934, usa",32934
752,-86.3427458,30.3790174,"miramar beach, fl 32550, usa",32550
753,-81.8716058,26.5588224,"fort myers, fl 33907, usa",33907
754,-82.3560389,27.7254716,"sun city center, fl 33573, usa",33573
755,-81.2408689,28.5417016,"orlando, fl 32825, usa",32825
756,-82.4536115,28.7654134,"lecanto, fl 34461, usa",34461
757,-81.2628961,28.6820373,"winter springs, fl 32708, usa",32708
758,-80.2377078,25.7307897,"miami, fl 33133, usa",33133
